"name","category","price","stock_quantity"
"Jasmine Rice","RICE & CARBS",0.00,0
"Royal Umbrella Rice","RICE & CARBS",0.00,0
"Lele Rice","RICE & CARBS",0.00,0
"Milicent Rice","RICE & CARBS",0.00,0
"K-72 Rice","RICE & CARBS",0.00,0
"Spaghetti","RICE & CARBS",0.00,0
"Indomie Instant Noodles","RICE & CARBS",0.00,0
"Gari","RICE & CARBS",0.00,0
"Ena Pa Mackerel","CANNED PROTEINS & READY MEALS",0.00,0
"Sardines (Titus / Ena Pa)","CANNED PROTEINS & READY MEALS",0.00,0
"Tuna Flakes","CANNED PROTEINS & READY MEALS",0.00,0
"Canned Beef (Target / Exeter)","CANNED PROTEINS & READY MEALS",0.00,0
"Baked Beans","CANNED PROTEINS & READY MEALS",0.00,0
"Canned Waakye","CANNED PROTEINS & READY MEALS",0.00,0
"Canned Jollof","CANNED PROTEINS & READY MEALS",0.00,0
"Oats","BREAKFAST CEREALS, FLOURS & BAKERY",0.00,0
"Cornflakes","BREAKFAST CEREALS, FLOURS & BAKERY",0.00,0
"Tom Brown","BREAKFAST CEREALS, FLOURS & BAKERY",0.00,0
"Processed Hausa Koko","BREAKFAST CEREALS, FLOURS & BAKERY",0.00,0
"Wheat Flour","BREAKFAST CEREALS, FLOURS & BAKERY",0.00,0
"Corn Flour","BREAKFAST CEREALS, FLOURS & BAKERY",0.00,0
"Bread","BREAKFAST CEREALS, FLOURS & BAKERY",0.00,0
"Ideal Milk (Tins/Sachets)","MILK & HOT BEVERAGES",0.00,0
"Peak Milk (Tins/Sachets)","MILK & HOT BEVERAGES",0.00,0
"Carnation Milk","MILK & HOT BEVERAGES",0.00,0
"Dano Milk Powder","MILK & HOT BEVERAGES",0.00,0
"Nido Milk Powder","MILK & HOT BEVERAGES",0.00,0
"Cowbell Milk","MILK & HOT BEVERAGES",0.00,0
"Milo","MILK & HOT BEVERAGES",0.00,0
"Ovaltine","MILK & HOT BEVERAGES",0.00,0
"Lipton Tea","MILK & HOT BEVERAGES",0.00,0
"Cowbell Coffee Mix","MILK & HOT BEVERAGES",0.00,0
"This Way Chocolate Drink","MILK & HOT BEVERAGES",0.00,0
"Vita Milk","COLD DRINKS & JUICES",0.00,0
"Soy Milk","COLD DRINKS & JUICES",0.00,0
"Niche Flavoured Milk","COLD DRINKS & JUICES",0.00,0
"Kalypo","COLD DRINKS & JUICES",0.00,0
"100% Orange Juice (1L)","COLD DRINKS & JUICES",0.00,0
"100% Apple Juice (1L)","COLD DRINKS & JUICES",0.00,0
"100% Pineapple Juice (1L)","COLD DRINKS & JUICES",0.00,0
"100% Mango Juice (1L)","COLD DRINKS & JUICES",0.00,0
"100% Mixed Fruit Juice (1L)","COLD DRINKS & JUICES",0.00,0
"Cranberry Juice (1L)","COLD DRINKS & JUICES",0.00,0
"Digestive Biscuits","SNACKS & BISCUITS",0.00,0
"Marie Biscuits","SNACKS & BISCUITS",0.00,0
"Cream Crackers","SNACKS & BISCUITS",0.00,0
"Rich Tea Biscuits","SNACKS & BISCUITS",0.00,0
"Soda Biscuits","SNACKS & BISCUITS",0.00,0
"Water Biscuits","SNACKS & BISCUITS",0.00,0
"Oat Biscuits","SNACKS & BISCUITS",0.00,0
"Whole Wheat Biscuits","SNACKS & BISCUITS",0.00,0
"Cookies","SNACKS & BISCUITS",0.00,0
"Shortbread Biscuits","SNACKS & BISCUITS",0.00,0
"Ginger Biscuits","SNACKS & BISCUITS",0.00,0
"Bourbon Biscuits","SNACKS & BISCUITS",0.00,0
"Custard Cream Biscuits","SNACKS & BISCUITS",0.00,0
"Peanut Biscuits","SNACKS & BISCUITS",0.00,0
"Coconut Biscuits","SNACKS & BISCUITS",0.00,0
"Plantain Chips","SNACKS & BISCUITS",0.00,0
"Frytol Cooking Oil (500ml / 1L / 1.5L)","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Sunflower / Canola / Soybean Oil","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Olive Oil","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Tomato Paste (Tasty Tom / Salsa / La Vonce)","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Premium Shito","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"White Sugar","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Brown Sugar","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Margarine","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Chocolate Spread (Nutella / Choco Nusse)","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Peanut Butter","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Jam","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Pure Honey","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Custard Powder","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Soy Sauce","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Tomato Ketchup","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Mayonnaise","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Hot Pepper Sauce / Sriracha","COOKING OILS, CONDIMENTS & SPREADS",0.00,0
"Salt","SPICES, HERBS & AROMATICS",0.00,0
"Black Pepper / Pepper Shaker","SPICES, HERBS & AROMATICS",0.00,0
"Seasoning Cubes (Maggi / Onga / Knorr)","SPICES, HERBS & AROMATICS",0.00,0
"Curry Powder","SPICES, HERBS & AROMATICS",0.00,0
"Garlic Powder","SPICES, HERBS & AROMATICS",0.00,0
"Ginger Powder","SPICES, HERBS & AROMATICS",0.00,0
"Onion Powder","SPICES, HERBS & AROMATICS",0.00,0
"Jollof Seasoning","SPICES, HERBS & AROMATICS",0.00,0
"Suya Spice","SPICES, HERBS & AROMATICS",0.00,0
"Mixed Herbs","SPICES, HERBS & AROMATICS",0.00,0
"Dawadawa","SPICES, HERBS & AROMATICS",0.00,0
"Prekese","SPICES, HERBS & AROMATICS",0.00,0
"Anise Seeds","SPICES, HERBS & AROMATICS",0.00,0
"Fresh Ginger, Garlic & Onions","SPICES, HERBS & AROMATICS",0.00,0
"Toothbrush","PERSONAL CARE & GROOMING",0.00,0
"Toothpaste (Pepsodent / Close-Up)","PERSONAL CARE & GROOMING",0.00,0
"Mouthwash","PERSONAL CARE & GROOMING",0.00,0
"Tongue Scraper","PERSONAL CARE & GROOMING",0.00,0
"Bathing Soap","PERSONAL CARE & GROOMING",0.00,0
"Body Wash","PERSONAL CARE & GROOMING",0.00,0
"Shampoo","PERSONAL CARE & GROOMING",0.00,0
"Conditioner","PERSONAL CARE & GROOMING",0.00,0
"Body Lotion","PERSONAL CARE & GROOMING",0.00,0
"Petroleum Jelly (Vaseline)","PERSONAL CARE & GROOMING",0.00,0
"Roll-on Deodorant / Antiperspirant","PERSONAL CARE & GROOMING",0.00,0
"Hand Cream","PERSONAL CARE & GROOMING",0.00,0
"Face Towel","PERSONAL CARE & GROOMING",0.00,0
"Hair Cream / Hair Food","PERSONAL CARE & GROOMING",0.00,0
"Hair Oil","PERSONAL CARE & GROOMING",0.00,0
"Comb & Brush Set","PERSONAL CARE & GROOMING",0.00,0
"Hair Bonnet / Ties","PERSONAL CARE & GROOMING",0.00,0
"Washing Powder (Viva / Omo / Sunset)","LAUNDRY & HOUSEKEEPING",0.00,0
"Bar Soap (Key Soap / Duck Soap)","LAUNDRY & HOUSEKEEPING",0.00,0
"Liquid Detergent","LAUNDRY & HOUSEKEEPING",0.00,0
"Comfort Fabric Softener","LAUNDRY & HOUSEKEEPING",0.00,0
"Bleach (Parazone / Jik)","LAUNDRY & HOUSEKEEPING",0.00,0
"Dettol / Antiseptic Disinfectant","LAUNDRY & HOUSEKEEPING",0.00,0
"Toilet / Bathroom Cleaner","LAUNDRY & HOUSEKEEPING",0.00,0
"Dishwashing Liquid","LAUNDRY & HOUSEKEEPING",0.00,0
"Scouring Pads / Sponges","LAUNDRY & HOUSEKEEPING",0.00,0
"Garbage Bags","LAUNDRY & HOUSEKEEPING",0.00,0
"Paper Towels / Tissues","LAUNDRY & HOUSEKEEPING",0.00,0
"Air Freshener","LAUNDRY & HOUSEKEEPING",0.00,0
